city,datetime,temperature_c,humidity_pct,wind_speed_mps,precip_mm,pressure_hpa,condition,warning
北京,2026-07-07 08:00,31.2,62,3.5,0.0,1005,多云,
北京,2026-07-07 14:00,35.6,55,5.8,0.0,1001,晴热,高温提醒
北京,2026-07-07 20:00,30.4,68,4.1,0.0,1003,多云,
上海,2026-07-07 08:00,29.4,82,4.2,4.6,1004,小雨,
上海,2026-07-07 14:00,32.1,78,6.0,12.8,1000,中雨,短时强降水关注
上海,2026-07-07 20:00,28.7,88,5.2,8.4,1002,阵雨,
广州,2026-07-07 08:00,30.1,86,3.8,1.2,1006,闷热,
广州,2026-07-07 14:00,34.2,75,7.5,3.5,1002,雷阵雨,雷雨大风关注
广州,2026-07-07 20:00,29.6,91,4.9,18.6,1004,大雨,暴雨关注
成都,2026-07-07 08:00,25.8,79,2.1,0.0,1008,阴,
成都,2026-07-07 14:00,29.7,70,3.2,0.0,1005,多云,
成都,2026-07-07 20:00,27.0,76,2.5,1.0,1006,小雨,

